'nodes','hash',lem-green',lem-green+','li-fan','li-fan+','li-fan++','lr-fhss-driver'
1e3,469.3,512.33,509.8,491.86,490.86,479.06,480.36
2e3,1853.8,2004.2,2001.83,1886.63,1841.6,1870.63,1831.6
3e3,4078.6,4404.83,4433.0,4133.63,4082.6,4080.8,4061.7
5e3,10828.63,11744.3,11737.6,11027.03,10969.5,10889.26,10826.66
1e4,39086.76,41934.03,42008.13,39839.6,39444.766,39417.96,39079.8
2e4,128077.86,135044.56,134875.4,129942.66,129185.06,128697.7,127994.4
3e4,237286.86,246030.43,246059.76,239691.6,238699.8,238085.46,237321.36
5e4,455510.7,458667.1,458703.56,456414.33,456089.9,456407.26,455778.66
1e5,809614.36,775092.0,775008.46,801120.83,805503.63,808255.53,810514.56
2e5,990200.33,913025.53,912983.8,971996.86,981011.7,983417.36,990564.7
3e5,1014294.2,929860.9,929815.96,993041.06,1003346.0,1004787.3,1014322.66
5e5,1025271.46,938680.56,938723.9,998990.2,1010751.5,1013750.26,1025353.26
1e6,1032971.7,945122.56,945128.8,999846.23,1012837.66,1019372.0,1032952.06
