nodes,10,11,12,14,16,18,20,22,25,28,32,36,41,46,52,58,66,74,83,94,106,119,134,151,170,191,215,242,272,307,345,388,437,492,554,623,701,789,888,1000
driver-tracked_txs,10.0,11.0,12.0,14.0,16.0,18.0,20.0,22.0,25.0,28.0,32.0,36.0,41.0,46.0,52.0,58.0,66.0,74.0,83.0,94.0,106.0,119.0,134.0,151.0,170.0,191.0,215.0,242.0,272.0,307.0,345.0,388.0,437.0,492.0,554.0,623.0,701.0,789.0,888.0,1000.0
driver-header_drop_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driver-decoded_bytes,366.3,403.6,439.8,507.5,567.2,632.6,696.8,761.4,864.2,949.1,1084.4,1215.0,1393.1,1546.0,1766.6,1947.8,2215.7,2475.4,2773.2,3071.0,3382.6,3651.7,3925.7,4358.8,4795.0,4872.0,5117.5,5108.1,5007.7,4908.9,4213.3,3743.0,2957.2,2309.4,1617.5,1114.1,718.2,498.7,263.9,226.7
driver-decoded_hrd_pld,10.0,11.0,12.0,14.0,15.9,17.9,19.9,22.0,24.8,27.4,31.3,35.0,39.9,44.6,50.2,55.5,63.1,70.0,78.3,87.1,96.1,103.7,111.4,122.2,134.6,137.8,143.7,144.3,141.1,139.1,121.8,107.3,85.9,69.0,49.1,35.9,24.0,18.0,11.1,8.8
driver-decoded_hdr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.4,0.1,1.3,2.1,2.8,5.5,10.0,16.3,27.9,36.5,51.2,70.2,93.7,95.6,120.1,119.0,123.9,130.1,133.0,125.7
driver-decodable_pld,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.4,0.5,0.8,0.9,1.2,1.6,2.3,2.7,3.6,3.9,5.6,8.1,13.0,18.0,22.5,27.7,39.7,50.6,64.7,73.4,86.0,104.0,99.6,104.5,99.9,90.1,82.3,74.9,55.9,46.1,41.4
driver-collided_hdr_pld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,1.3,1.4,2.2,3.3,4.2,4.9,8.0,10.7,16.7,29.6,45.4,68.0,110.9,152.9,227.5,294.7,385.8,478.2,585.0,697.8,824.1
driver-tp,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.6,0.7,1.0,1.1,1.4,1.8,2.5,2.9,3.9,4.4,6.9,9.5,15.2,21.2,26.7,32.4,47.6,60.8,80.9,102.3,130.5,170.5,208.5,254.7,326.0,378.9,464.5,549.5,635.4,737.5,857.8
driver-fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,1.4,1.5,3.3,4.0,4.9,5.1,7.5,8.9,8.9,10.4,12.2,14.6,18.6,24.8,37.7,45.2,79.1,141.1,266.1,408.7,1307.7
driver-fn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.5,0.5,0.7,0.9,1.5,2.0,2.7,1.4,5.9,3.6,3.6,5.5,6.4,7.7
driver-time,0.0,0.0,0.0,0.0,0.102741,0.102141,0.101929,0.0,0.203662,0.305769,0.305869,0.612966,0.508112,0.511278,0.818976,0.918921,0.832971,1.028033,1.025884,1.023496,1.022913,1.027733,1.025517,1.023567,1.02653,1.032044,1.023731,1.022784,1.02577,1.02596,1.037428,1.041014,1.041041,1.038473,1.041402,1.043552,1.047275,1.050476,1.057169,1.06263
driver-chocc,0.035871,0.037862,0.037497,0.038728,0.044318,0.046464,0.04885,0.048473,0.055455,0.055622,0.060039,0.065355,0.072336,0.077436,0.087894,0.096808,0.106961,0.118888,0.132453,0.147432,0.16425,0.182643,0.202437,0.224279,0.249981,0.274214,0.304233,0.333879,0.364346,0.401514,0.437539,0.474009,0.516486,0.554836,0.598973,0.6413,0.678646,0.721507,0.763583,0.792189
