nodes,10,11,13,15,17,20,23,26,30,35,40,47,54,62,71,82,95,109,126,145,167,193,222,255,294,339,390,449,517,596,686,790,910,1048,1206,1389,1599,1842,2120,2442,2811,3237,3727,4291,4941,5689,6551,7543,8685,10000
lifan-CR2-64p-dec_bytes,1210.0,1331.0,1573.0,1815.0,2057.0,2420.0,2783.0,3121.8,3630.0,4053.5,4827.9,5578.1,6425.1,7211.6,8373.2,9655.8,11144.1,12632.4,14193.3,16516.5,18004.8,19795.6,21005.6,20775.7,20642.6,19747.2,19856.1,19069.6,18077.4,17315.1,15572.7,14253.8,12947.0,10950.5,9220.2,7344.7,5783.8,4356.0,2976.6,2565.2,1766.6,1076.9,798.6,871.2,617.1,435.6,326.7,254.1,193.6,217.8
lifan-CR2-64p-dec_pckts,10.0,11.0,13.0,15.0,17.0,20.0,23.0,25.8,30.0,33.5,39.9,46.1,53.1,59.6,69.2,79.8,92.1,104.4,117.3,136.5,148.8,163.6,173.6,171.7,170.6,163.2,164.1,157.6,149.4,143.1,128.7,117.8,107.0,90.5,76.2,60.7,47.8,36.0,24.6,21.2,14.6,8.9,6.6,7.2,5.1,3.6,2.7,2.1,1.6,1.8
lifan-CR2-64p-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.5,0.1,0.9,0.9,2.4,1.8,2.2,2.9,4.6,8.7,8.5,17.6,19.2,22.3,32.7,44.6,59.2,65.1,82.9,106.2,126.6,161.2,191.1,240.5,273.3,330.4,399.9,472.7,555.2,659.8,758.6,881.5,1036.6,1207.4,1395.0,1583.0,1816.7,2068.5,2315.6,2559.5,2807.7
driver-CR2-64p-dec_bytes,1210.0,1331.0,1573.0,1815.0,2032.8,2420.0,2783.0,3146.0,3630.0,4186.6,4815.8,5662.8,6437.2,7465.7,8494.2,9752.6,11361.9,12947.0,15052.4,17048.9,19347.9,21259.7,21780.0,22651.2,22602.8,22590.7,22578.6,22554.4,22723.8,22554.4,22639.1,22578.6,22687.5,22578.6,22227.7,21441.2,20787.8,19541.5,18234.7,15439.6,12402.5,9450.1,7139.0,4065.6,2916.1,1076.9,520.3,181.5,24.2,12.1
driver-CR2-64p-dec_pckts,10.0,11.0,13.0,15.0,16.8,20.0,23.0,26.0,30.0,34.6,39.8,46.8,53.2,61.7,70.2,80.6,93.9,107.0,124.4,140.9,159.9,175.7,180.0,187.2,186.8,186.7,186.6,186.4,187.8,186.4,187.1,186.6,187.5,186.6,183.7,177.2,171.8,161.5,150.7,127.6,102.5,78.1,59.0,33.6,24.1,8.9,4.3,1.5,0.2,0.1
driver-CR2-64p-col_pckts,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.8,0.3,0.8,1.4,1.1,2.0,1.6,4.1,4.4,5.7,6.6,7.8,11.2,11.4,13.2,16.8,15.3,22.7,21.0,28.8,26.9,34.7,41.7,60.3,77.7,104.2,129.6,185.4,248.1,326.1,432.0,538.6,634.7,835.4,1035.3,1250.5,1481.4,1738.5
lifan-CR2-1024p-dec_bytes,1210.0,1331.0,1560.9,1815.0,2057.0,2395.8,2783.0,3146.0,3569.5,4235.0,4767.4,5638.6,6449.3,7344.7,8385.3,9619.5,10950.5,12463.0,14447.4,16383.4,18319.4,20412.7,22784.3,25664.1,28120.4,30479.9,32077.1,34158.3,36735.6,35731.3,35682.9,33613.8,30661.4,27527.5,24030.6,19928.7,15137.1,11325.6,7719.8,5832.2,4791.6,3242.8,2129.6,1524.6,1161.6,955.9,629.2,459.8,387.2,242.0
lifan-CR2-1024p-dec_pckts,10.0,11.0,12.9,15.0,17.0,19.8,23.0,26.0,29.5,35.0,39.4,46.6,53.3,60.7,69.3,79.5,90.5,103.0,119.4,135.4,151.4,168.7,188.3,212.1,232.4,251.9,265.1,282.3,303.6,295.3,294.9,277.8,253.4,227.5,198.6,164.7,125.1,93.6,63.8,48.2,39.6,26.8,17.6,12.6,9.6,7.9,5.2,3.8,3.2,2.0
lifan-CR2-1024p-col_pckts,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.6,0.4,0.7,1.3,1.7,2.5,4.5,6.0,6.6,9.6,15.6,24.3,33.7,42.9,61.6,87.1,124.9,166.7,213.4,300.7,391.1,512.2,656.6,820.5,1007.4,1224.3,1473.9,1748.4,2056.2,2393.8,2771.4,3210.2,3709.4,4278.4,4931.4,5681.1,6545.8,7539.2,8681.8,9998.0
